,registration_date,years_of_study,family_size,loan_amount,total_career_years,birth_date,contract_type,is_male,province,zip_code,user_id,age,group,history_type,monthly_expense
30,2012-03-26,4.0,0.0,173016,4.0,1980-08-18,B,1.0,A,300026,910473,32.0,A,A,380000.0
31,2012-03-26,6.0,0.0,149412,6.0,1984-09-05,D,1.0,A,300097,910474,28.0,B,B,20000.0
32,2012-03-31,6.0,0.0,139116,6.0,1981-08-05,D,1.0,A,300059,921005,31.0,A,B,20000.0
33,2012-03-31,2.0,0.0,159750,2.0,1992-07-21,B,0.0,A,300063,925162,20.0,A,B,15000.0
34,2012-04-13,6.0,0.0,169890,6.0,1978-10-22,D,1.0,A,300102,938668,33.0,B,B,20000.0
35,2012-04-23,,0.0,166482,,1981-06-20,C,1.0,A,300017,953183,31.0,B,B,50000.0
36,2012-04-23,6.0,0.0,194022,6.0,1987-11-16,B,1.0,A,300104,954343,24.0,A,A,20000.0
37,2012-04-26,25.0,0.0,194022,25.0,2065-02-13,E,1.0,A,300069,958230,47.0,B,A,100000.0
38,2012-04-30,2.0,0.0,194022,2.0,1987-12-06,B,0.0,A,300104,966143,24.0,A,A,15000.0
39,2012-04-30,,0.0,173016,,1978-09-07,C,1.0,A,300068,969275,34.0,B,B,50000.0
40,2012-04-30,,0.0,160539,,1976-06-07,C,1.0,A,300095,970375,36.0,B,B,50000.0
41,2012-04-30,,0.0,179250,,1988-01-01,C,1.0,A,300097,970738,24.0,B,B,50000.0
42,2012-02-05,,0.0,171408,,1983-06-29,C,1.0,A,301305,972022,29.0,B,B,50000.0
43,2012-05-16,2.0,0.0,194022,2.0,1969-01-10,B,1.0,A,300095,991191,43.0,B,A,15000.0
44,2012-05-16,4.0,0.0,163944,4.0,1976-06-13,B,1.0,A,300093,991214,36.0,B,B,25000.0
45,2012-05-18,4.0,0.0,166482,4.0,1977-05-04,D,0.0,A,300095,993949,35.0,B,B,15000.0
46,2012-05-31,,0.0,173280,,1983-08-07,C,1.0,A,300051,1017582,29.0,B,B,30000.0
47,2012-05-31,2.0,0.0,176145,2.0,1983-07-10,B,1.0,A,300066,1017758,29.0,B,B,18000.0
48,2012-05-31,3.0,0.0,176145,3.0,1989-10-21,D,1.0,A,300099,1017856,23.0,A,B,15000.0
49,2012-05-31,2.0,0.0,159882,2.0,1980-01-01,D,0.0,A,300097,1019479,32.0,B,B,15000.0
50,2012-06-15,5.0,0.0,190995,5.0,1989-08-05,B,1.0,A,300095,1036903,23.0,A,B,15000.0
51,2012-06-23,20.0,0.0,171408,20.0,1968-04-01,B,1.0,A,300093,1049227,44.0,B,B,30000.0
52,2012-06-29,,0.0,173016,,1971-09-15,C,1.0,A,300058,1057602,41.0,B,B,50000.0
53,2012-06-30,10.0,0.0,171408,10.0,1966-02-12,B,1.0,A,300093,1062735,46.0,B,B,17550.0
54,2012-06-30,2.0,0.0,182376,2.0,1989-12-12,B,1.0,A,300095,1062879,23.0,A,B,20000.0
55,2012-06-30,15.0,0.0,176091,15.0,2065-05-13,D,1.0,A,300017,1064634,47.0,B,B,15000.0
56,2012-01-13,8.0,4.0,165399,8.0,1972-01-01,A,1.0,B,52116,811797,40.0,B,B,24000.0
57,2012-01-14,,4.0,158781,,1975-07-25,C,1.0,B,52116,812032,36.0,B,B,15000.0
58,2012-01-30,,4.0,155244,,2054-01-01,C,1.0,B,52116,834060,58.0,B,B,12000.0
59,2012-01-30,5.0,3.0,128628,5.0,1984-01-01,A,1.0,B,52116,836770,28.0,B,B,15000.0
60,2012-05-02,20.0,4.0,165399,20.0,1966-01-01,A,1.0,B,52116,844498,46.0,B,B,15000.0
61,2012-02-27,2.0,4.0,129096,2.0,1991-11-18,E,1.0,B,52116,874258,20.0,A,B,10000.0
62,2012-02-29,,4.0,136032,,2064-01-01,C,1.0,B,52116,876037,48.0,B,B,12000.0
63,2012-02-29,2.0,4.0,141147,2.0,1993-01-01,E,1.0,B,52128,876436,19.0,A,B,8000.0
64,2012-09-03,20.0,4.0,145062,20.0,2063-01-01,A,1.0,B,52128,887839,49.0,B,B,25000.0
65,2012-03-19,3.0,4.0,129096,3.0,2062-01-01,E,1.0,B,52116,904082,50.0,B,B,12000.0
66,2012-03-23,,4.0,130890,,1969-01-01,C,1.0,B,52132,908873,43.0,B,B,10000.0
67,2012-03-26,25.0,4.0,165399,25.0,2061-01-01,A,1.0,B,52116,912814,51.0,B,B,22000.0
68,2012-03-26,,4.0,155244,,1980-01-01,C,0.0,B,52116,912838,32.0,B,B,15000.0
69,2012-03-30,,1.0,165399,,1987-01-01,E,1.0,B,52115,918062,25.0,B,B,12000.0
70,2012-03-30,,2.0,165399,,1986-01-01,E,1.0,B,52115,918100,26.0,B,B,12000.0
71,2012-03-31,,4.0,129096,,1967-01-01,C,1.0,B,52116,922936,45.0,B,B,15000.0
72,2012-03-31,,4.0,151545,,1981-12-14,C,1.0,B,52128,925855,30.0,B,B,15000.0
73,2012-08-04,,4.0,153996,,1983-08-09,C,1.0,B,52128,932233,29.0,A,B,15000.0
74,2012-08-04,4.0,0.0,175482,4.0,1987-03-04,A,1.0,B,52116,932313,25.0,B,B,25000.0
75,2012-08-04,,4.0,142734,,1992-01-01,C,1.0,B,52132,932462,20.0,A,B,15000.0
76,2012-04-13,,4.0,158889,,1987-01-01,C,1.0,B,52116,938763,25.0,A,B,12000.0
77,2012-04-13,1.0,4.0,153996,1.0,1975-05-15,E,1.0,B,52132,938815,37.0,B,B,12000.0
78,2012-04-22,1.0,3.0,142734,1.0,1992-01-01,E,1.0,B,52116,950539,20.0,A,B,9000.0
79,2012-04-23,,4.0,142734,,1987-10-01,C,1.0,B,52116,953996,25.0,A,B,15000.0
80,2012-04-26,,4.0,155382,,1987-11-15,C,1.0,B,52117,957183,24.0,A,B,15000.0
81,2012-04-28,,4.0,158445,,1982-08-23,C,1.0,B,52116,959915,30.0,B,B,12000.0
82,2012-04-30,1.0,4.0,135858,1.0,1990-09-04,E,1.0,B,52116,967551,22.0,A,B,12000.0
83,2012-04-30,20.0,4.0,165192,20.0,2057-01-01,B,1.0,B,52116,969200,55.0,B,B,20000.0
84,2012-09-05,,4.0,165192,,1985-07-03,C,1.0,B,52116,979408,27.0,A,B,15000.0
85,2012-05-14,,4.0,161874,,1971-01-01,C,1.0,B,52116,988811,41.0,B,B,15000.0
86,2012-05-20,,4.0,155382,,1984-12-11,C,1.0,B,51210,997899,27.0,B,B,15000.0
87,2012-05-20,,4.0,128628,,1977-01-01,C,1.0,B,52116,998209,35.0,B,B,15000.0
88,2012-05-21,,4.0,128289,,2057-01-01,C,1.0,B,52116,1000236,55.0,B,C,15000.0
89,2012-05-21,,4.0,118374,,2062-01-01,C,1.0,B,52116,1001436,50.0,B,B,13000.0
90,2012-05-26,3.0,4.0,128628,3.0,1983-01-01,C,1.0,B,52116,1006248,29.0,A,B,15000.0
91,2012-05-26,30.0,4.0,180825,30.0,2059-07-04,A,1.0,B,52116,1006250,52.0,B,B,45000.0
92,2012-05-27,,4.0,128235,,1975-01-01,C,1.0,B,52116,1007399,37.0,B,B,15000.0
93,2012-05-30,,4.0,143730,,1967-01-01,C,1.0,B,52116,1013408,45.0,B,C,15000.0
94,2012-05-30,,4.0,143730,,1977-01-01,C,1.0,B,52116,1013419,35.0,B,B,15000.0
95,2012-05-31,,4.0,129096,,1979-01-01,C,1.0,B,52116,1015779,33.0,B,B,15000.0
96,2012-10-06,,4.0,158889,,1976-09-09,C,1.0,B,52132,1030015,36.0,B,C,15000.0
97,2012-10-06,2.0,4.0,144036,2.0,1981-01-07,E,1.0,B,52116,1030127,31.0,B,B,16000.0
98,2012-06-15,,4.0,157404,,1986-01-01,C,1.0,B,52123,1036279,26.0,A,B,15000.0
99,2012-06-15,,4.0,155970,,1984-09-11,C,1.0,B,52132,1036291,28.0,A,B,15000.0
100,2012-06-22,,4.0,144240,,1977-01-01,C,1.0,B,52116,1047165,35.0,B,B,17000.0
101,2012-06-29,,4.0,157980,,1983-02-04,C,1.0,B,52116,1057010,29.0,B,C,20000.0
102,2012-06-30,,4.0,144717,,1984-01-01,C,1.0,B,52128,1062338,28.0,A,B,15000.0
103,2012-06-30,,4.0,157902,,1968-01-01,C,1.0,B,52116,1062679,44.0,B,C,15000.0
104,2012-06-30,,4.0,145905,,1974-01-01,C,1.0,B,52116,1062720,38.0,B,B,15000.0
105,2012-09-01,,1.0,153996,,1973-01-01,E,0.0,C,397001,806502,39.0,B,C,15000.0
106,2012-11-01,10.0,2.0,155382,10.0,1983-12-25,E,1.0,C,397001,807994,28.0,B,A,12000.0
107,2012-01-25,1.0,2.0,158445,5.0,1984-05-26,B,1.0,C,397001,827806,28.0,B,C,8500.0
108,2012-02-23,7.0,0.0,155382,7.0,1987-01-01,E,1.0,C,397101,867186,25.0,A,C,7000.0
109,2012-02-27,,1.0,155382,,1990-01-01,E,1.0,C,397001,873097,22.0,B,C,15000.0
110,2012-02-29,32.0,0.0,165192,32.0,2058-11-11,A,1.0,C,397229,879538,53.0,B,C,40000.0
111,2012-04-03,,0.0,155382,,1993-01-15,E,1.0,C,397001,883208,19.0,A,A,25000.0
112,2012-10-03,,2.0,158625,,1985-07-03,E,1.0,C,397001,889984,27.0,B,A,25000.0
113,2012-03-23,,0.0,158625,,1989-12-30,E,1.0,C,397001,909569,22.0,A,C,50000.0
114,2012-03-31,1.0,1.0,153996,1.0,1993-06-08,A,1.0,C,397001,925541,19.0,B,C,9000.0
115,2012-04-29,14.0,2.0,143730,14.0,1979-03-14,E,1.0,C,397001,962671,33.0,B,C,15000.0
116,2012-05-14,1.0,0.0,142734,1.0,1989-09-26,E,0.0,C,397001,988520,23.0,A,D,8000.0
117,2012-05-14,,2.0,153996,,1975-01-01,E,1.0,C,397001,988523,37.0,B,C,25000.0
118,2012-05-16,,0.0,165399,,1982-01-01,E,0.0,C,397001,991125,30.0,B,C,15000.0
119,2012-05-23,,1.0,156393,,1989-07-01,E,1.0,C,397001,1001849,23.0,B,C,30000.0
120,2012-06-06,,0.0,165399,,1989-11-15,E,1.0,C,397001,1023788,23.0,A,C,10000.0
121,2012-10-06,2.0,1.0,185586,2.0,1987-12-12,E,1.0,C,397001,1029393,24.0,A,A,10000.0
122,2012-11-06,,1.0,157980,,2061-01-01,E,1.0,C,397001,1031299,51.0,B,B,10000.0
123,2012-06-17,3.0,0.0,161817,3.0,1989-04-21,A,0.0,C,397111,1040519,23.0,B,C,10200.0
124,2012-06-29,1.0,1.0,136851,3.0,1987-01-01,E,1.0,C,397101,1057618,25.0,B,A,17000.0
125,2012-06-30,1.0,0.0,133239,1.0,1992-03-05,E,1.0,C,397223,1065853,20.0,A,C,7000.0
126,2012-09-01,,0.0,194901,,1992-11-24,C,1.0,D,535802,807137,19.0,B,C,15000.0
127,2012-09-01,,0.0,180825,,1981-02-05,C,1.0,D,535752,807270,31.0,B,A,15000.0
128,2012-01-15,5.0,0.0,158445,5.0,1980-06-04,E,1.0,D,535802,813093,32.0,B,A,15000.0
129,2012-01-20,5.0,0.0,158625,10.0,2063-05-04,E,1.0,D,532602,820036,49.0,B,C,10500.0
130,2012-01-21,2.0,0.0,141147,2.0,1991-03-03,E,1.0,D,535802,822073,21.0,A,C,10500.0
131,2012-01-22,,0.0,158445,,1984-11-16,C,1.0,D,535802,822763,27.0,B,C,15000.0
132,2012-01-22,,0.0,163872,,1971-07-21,C,1.0,D,535802,822773,40.0,B,C,12500.0
133,2012-01-22,4.0,0.0,157695,4.0,1985-10-27,E,1.0,D,535811,822842,26.0,B,C,12500.0
134,2012-01-22,5.0,0.0,180825,7.0,1981-04-21,E,1.0,D,535802,823852,31.0,A,C,11000.0
135,2012-01-22,5.0,0.0,165192,7.0,1969-11-08,E,1.0,D,535814,823863,42.0,B,C,11000.0
136,2012-01-22,5.0,0.0,161817,7.0,1974-05-15,E,1.0,D,535811,823864,38.0,B,C,11500.0
137,2012-01-22,15.0,0.0,158625,15.0,2061-05-02,A,1.0,D,535802,824136,51.0,B,A,25000.0
138,2012-01-23,,0.0,163458,,1985-05-02,C,1.0,D,535808,825070,26.0,A,C,11000.0
139,2012-01-25,5.0,0.0,182427,5.0,1985-07-29,E,1.0,D,535808,827151,26.0,A,C,12000.0
140,2012-01-25,,0.0,169890,,1968-03-14,C,1.0,D,535814,827760,44.0,B,A,15000.0
141,2012-01-25,3.0,0.0,170901,5.0,1984-06-06,E,1.0,D,535802,827775,28.0,A,C,12000.0
142,2012-01-25,5.0,0.0,153996,5.0,1985-05-17,E,1.0,D,535802,827776,27.0,B,C,11500.0
143,2012-01-27,3.0,0.0,161817,3.0,1984-06-15,E,1.0,D,535808,828079,28.0,A,C,10500.0
144,2012-01-28,,0.0,155382,,1983-02-11,C,1.0,D,535802,830179,29.0,B,C,10500.0
145,2012-01-28,5.0,0.0,153996,5.0,1968-09-16,E,0.0,D,535811,830699,43.0,B,C,11000.0
146,2012-01-30,5.0,0.0,161643,6.0,1983-05-05,E,0.0,D,535812,833776,29.0,A,C,12000.0
147,2012-01-30,3.0,0.0,180825,3.0,1987-01-02,E,0.0,D,535802,833794,25.0,B,C,12000.0
148,2012-01-30,5.0,0.0,182427,7.0,1982-06-16,E,1.0,D,535810,833795,30.0,B,C,11500.0
149,2012-01-30,,0.0,152187,,1971-05-12,C,1.0,D,535808,833825,41.0,B,C,12000.0
150,2012-01-30,,0.0,180825,,1974-01-17,C,1.0,D,535809,838176,38.0,B,C,12000.0
151,2012-01-30,,0.0,163458,,1985-05-16,C,1.0,D,535810,838731,27.0,B,C,11500.0
152,2012-01-30,3.0,0.0,180825,3.0,1984-05-11,E,1.0,D,535811,839100,28.0,A,C,12000.0
153,2012-01-30,,0.0,155382,,1993-06-05,C,1.0,D,535811,839111,18.0,A,C,10000.0
154,2012-01-30,,0.0,145368,,1991-01-01,C,1.0,D,535809,840335,21.0,A,C,12500.0
155,2012-01-30,3.0,0.0,231441,5.0,1986-06-20,E,1.0,D,535811,840345,26.0,A,A,15000.0
156,2012-01-30,2.0,0.0,158625,2.0,1991-06-05,E,1.0,D,535751,840395,21.0,A,A,10500.0
157,2012-01-30,3.0,0.0,200772,8.0,1975-05-20,E,1.0,D,535811,840408,37.0,B,C,12000.0
158,2012-01-30,,0.0,175482,,1978-10-07,C,1.0,D,535802,840461,33.0,B,C,12000.0
159,2012-01-30,3.0,0.0,163872,3.0,1990-08-20,E,1.0,D,535809,840633,21.0,A,C,12500.0
160,2012-01-30,3.0,0.0,192603,3.0,1990-06-04,E,1.0,D,535810,840651,22.0,A,A,12000.0
161,2012-01-30,,0.0,200772,,1971-06-05,C,1.0,D,535809,840722,41.0,B,C,15000.0
162,2012-01-30,5.0,0.0,190995,5.0,1984-05-28,E,1.0,D,535802,840829,28.0,B,C,12000.0
163,2012-05-02,,0.0,167931,,1966-02-14,C,1.0,D,535811,845840,46.0,B,C,12500.0
164,2012-08-02,5.0,0.0,169398,7.0,2058-06-01,A,1.0,D,535802,847863,54.0,B,A,25000.0
165,2012-10-02,,0.0,163458,,2061-02-26,C,0.0,D,535751,850882,51.0,B,C,2000.0
166,2012-02-15,3.0,0.0,180825,8.0,1979-06-10,E,1.0,D,535814,856626,33.0,B,C,12000.0
167,2012-02-16,1.0,0.0,199791,1.0,1985-04-22,A,1.0,D,535814,858018,27.0,A,A,17000.0
168,2012-02-16,3.0,0.0,158625,3.0,1985-01-01,B,1.0,D,535810,858091,27.0,B,C,11000.0
169,2012-02-18,,0.0,158445,,1986-07-15,C,1.0,D,535804,860184,25.0,A,C,10000.0
170,2012-02-19,,0.0,161817,,1984-09-07,C,1.0,D,535801,860390,27.0,A,C,11000.0
171,2012-02-19,,0.0,165192,,1967-02-15,C,1.0,D,535802,862822,45.0,B,C,13000.0
172,2012-02-19,,0.0,163458,,1992-06-16,C,1.0,D,535811,862927,20.0,A,A,12000.0
173,2012-02-22,,0.0,174891,,2054-09-25,C,1.0,D,535751,866110,57.0,B,C,25000.0
174,2012-02-25,,0.0,183327,,2062-09-24,C,1.0,D,535805,869300,49.0,B,C,16000.0
175,2012-02-25,,0.0,143730,,1987-04-09,B,1.0,D,535752,870139,25.0,B,C,10000.0
176,2012-02-26,,0.0,163872,,1976-09-03,E,1.0,D,535804,870695,35.0,B,C,30000.0
177,2012-02-29,2.0,0.0,158445,2.0,1979-05-19,E,0.0,D,535802,874596,33.0,B,A,15000.0
178,2012-02-29,4.0,0.0,157695,4.0,1985-05-25,B,1.0,D,535811,874707,27.0,B,C,13500.0
179,2012-02-29,4.0,0.0,180825,4.0,1973-05-25,B,1.0,D,535751,875683,39.0,B,C,12000.0
180,2012-02-29,8.0,0.0,161817,8.0,1975-05-25,E,1.0,D,535802,875762,36.0,B,C,20000.0
181,2012-02-29,10.0,0.0,177306,10.0,1972-09-14,E,1.0,D,535802,875935,39.0,B,A,20000.0
182,2012-02-29,,0.0,167931,,1987-12-10,E,1.0,D,535814,877852,24.0,B,C,15000.0
183,2012-02-29,2.0,0.0,172224,2.0,1992-04-16,E,1.0,D,535751,878507,20.0,A,C,12000.0
184,2012-02-29,4.0,0.0,158445,4.0,1979-04-04,E,1.0,D,535802,878999,33.0,B,C,11000.0
185,2012-02-29,3.0,0.0,158445,3.0,1985-06-01,E,1.0,D,535811,879932,26.0,A,C,9000.0
186,2012-02-29,,0.0,165192,,1986-02-01,C,1.0,D,535808,880049,26.0,B,C,12500.0
187,2012-02-29,,0.0,180825,,1986-07-28,C,1.0,D,535802,880362,26.0,B,C,15000.0
188,2012-03-03,3.0,0.0,153996,5.0,1980-11-19,E,1.0,D,535802,882682,31.0,B,C,10000.0
189,2012-12-03,,0.0,141018,,1969-10-20,C,0.0,D,535811,894179,42.0,B,C,10500.0
190,2012-12-03,,0.0,153549,,2052-07-10,C,1.0,D,535804,894326,59.0,B,C,12500.0
191,2012-03-14,,0.0,163872,,2057-03-28,E,1.0,D,535814,894821,55.0,B,A,25000.0
192,2012-03-14,,0.0,185688,,1985-02-25,C,1.0,D,535810,895962,27.0,A,A,12500.0
193,2012-03-17,,0.0,165399,,1985-02-19,E,1.0,D,535802,900663,27.0,A,C,25000.0
194,2012-03-18,,0.0,163458,,1986-03-03,C,1.0,D,535802,901491,26.0,A,C,12000.0
195,2012-03-18,,0.0,161874,,1976-05-15,C,1.0,D,535811,902662,36.0,B,C,15000.0
196,2012-03-18,,0.0,160557,,1983-03-28,C,1.0,D,535801,902969,29.0,B,C,12000.0
197,2012-03-22,3.0,0.0,152187,3.0,1985-05-29,E,1.0,D,535802,906694,27.0,A,C,12000.0
198,2012-03-22,2.0,0.0,182427,2.0,1991-09-01,E,0.0,D,535811,906889,21.0,B,C,12500.0
199,2012-03-22,2.0,0.0,173529,2.0,1989-03-29,E,1.0,D,535814,906890,23.0,A,C,12000.0
200,2012-03-25,3.0,0.0,189915,5.0,1978-09-16,E,1.0,D,535802,909624,34.0,B,C,13000.0
201,2012-03-25,,0.0,167931,,1987-03-31,E,1.0,D,535811,909626,25.0,A,C,12500.0
202,2012-03-25,6.0,0.0,177306,8.0,1973-06-20,E,1.0,D,535701,909627,39.0,B,C,15000.0
203,2012-03-25,3.0,0.0,177306,5.0,1971-03-15,E,1.0,D,535811,909632,41.0,B,C,12500.0
204,2012-03-25,10.0,0.0,161874,15.0,1971-03-20,E,0.0,D,535802,909633,41.0,B,C,12000.0
205,2012-03-26,3.0,0.0,163872,5.0,1980-09-10,B,1.0,D,535811,911449,32.0,B,C,13000.0
206,2012-03-30,5.0,0.0,157695,7.0,1976-03-10,E,1.0,D,535754,916931,36.0,B,C,12000.0
207,2012-03-30,10.0,0.0,219264,10.0,2054-05-10,A,1.0,D,535802,917841,58.0,B,A,30000.0
208,2012-03-30,4.0,0.0,157695,4.0,1989-01-06,E,1.0,D,535812,917870,23.0,A,B,15000.0
209,2012-03-30,3.0,0.0,157695,5.0,1985-05-17,E,1.0,D,535811,918406,27.0,A,A,20000.0
210,2012-03-31,,0.0,161874,,1979-03-04,C,1.0,D,535754,920116,33.0,B,C,12000.0
211,2012-03-31,,0.0,161817,,1971-03-24,C,0.0,D,535811,920237,41.0,B,C,8000.0
212,2012-03-31,3.0,0.0,195588,3.0,1983-05-18,E,0.0,D,535751,920352,29.0,B,C,11000.0
213,2012-03-31,,0.0,163872,,1981-09-21,C,1.0,D,535811,925011,31.0,B,C,12500.0
214,2012-03-31,,0.0,182427,,1978-09-23,C,1.0,D,535811,925967,34.0,B,C,12500.0
215,2012-03-31,,0.0,163872,,1976-05-17,C,0.0,D,535809,926051,36.0,B,C,12000.0
216,2012-10-04,3.0,0.0,182427,10.0,1973-02-18,E,1.0,D,535807,933773,39.0,B,C,12500.0
217,2012-11-04,,0.0,130890,,1966-02-05,E,1.0,D,535811,933860,46.0,B,C,10000.0
218,2012-11-04,,0.0,153996,,1980-11-20,C,1.0,D,535754,934028,31.0,B,C,12000.0
219,2012-04-14,3.0,0.0,157695,6.0,1986-06-04,E,1.0,D,535808,939583,26.0,B,C,11000.0
220,2012-04-14,,0.0,165192,,1978-04-07,C,1.0,D,535809,939867,34.0,B,C,12500.0
221,2012-04-20,3.0,0.0,167931,5.0,1984-03-14,E,1.0,D,535802,948057,28.0,A,A,12000.0
222,2012-04-22,,0.0,158445,,1976-05-03,C,1.0,D,535811,950714,36.0,B,C,15000.0
223,2012-04-22,3.0,0.0,158445,3.0,1978-02-06,E,1.0,D,535808,950812,34.0,B,C,13000.0
224,2012-04-22,,0.0,173529,,1975-03-09,E,1.0,D,535802,950884,37.0,B,C,15000.0
225,2012-04-22,,0.0,145062,,1981-07-19,C,1.0,D,535811,950899,31.0,B,C,13000.0
226,2012-04-22,3.0,0.0,180825,3.0,1985-08-28,E,1.0,D,535814,951423,27.0,A,C,12000.0
227,2012-04-23,,0.0,152187,,1986-05-07,C,1.0,D,535751,954527,26.0,B,C,15000.0
228,2012-04-23,,0.0,158445,,1982-03-12,C,1.0,D,535808,954613,30.0,B,C,15000.0
229,2012-04-23,5.0,0.0,173529,5.0,1983-04-14,E,1.0,D,535802,954757,29.0,A,C,15000.0
230,2012-04-23,4.0,0.0,182427,4.0,1985-06-22,E,1.0,D,535811,955142,27.0,B,C,14000.0
231,2012-04-29,,0.0,152604,,1984-06-24,C,1.0,D,531001,961997,28.0,B,C,15000.0
232,2012-04-29,3.0,0.0,165399,3.0,1978-08-17,E,1.0,D,535802,963305,34.0,B,A,15000.0
233,2012-04-30,4.0,0.0,153996,4.0,1978-01-01,E,1.0,D,535802,964327,34.0,B,C,15000.0
234,2012-04-30,3.0,0.0,176916,3.0,1980-05-13,E,1.0,D,535804,966908,32.0,B,B,15000.0
235,2012-04-30,3.0,0.0,178491,3.0,1974-03-25,E,1.0,D,535805,966949,38.0,B,C,12000.0
236,2012-04-30,3.0,0.0,161817,5.0,2063-03-02,E,1.0,D,535811,966953,49.0,B,C,11500.0
237,2012-04-30,3.0,0.0,182199,5.0,1985-03-20,E,1.0,D,535808,966980,27.0,A,A,13000.0
238,2012-04-30,,0.0,175482,,1981-03-22,C,1.0,D,535752,970491,31.0,B,C,12500.0
239,2012-04-30,,0.0,158445,,1984-06-25,C,1.0,D,535804,970505,28.0,A,C,15000.0
240,2012-04-30,3.0,0.0,182427,3.0,1985-06-01,E,1.0,D,535811,971305,27.0,B,A,13500.0
241,2012-09-05,,0.0,155382,,1984-06-08,C,0.0,D,535814,980147,28.0,B,C,12000.0
242,2012-09-05,,0.0,194901,,1972-10-31,C,0.0,D,535811,980157,39.0,B,C,35000.0
243,2012-10-05,2.0,0.0,194901,2.0,1991-12-23,E,1.0,D,535805,980340,20.0,B,C,14000.0
244,2012-11-05,3.0,0.0,167931,3.0,2065-02-18,E,1.0,D,535805,983090,47.0,B,C,15000.0
245,2012-12-05,,0.0,129096,,1987-11-03,C,1.0,D,535808,983558,25.0,B,C,15000.0
246,2012-12-05,,0.0,165192,,2059-06-23,C,1.0,D,535802,983593,53.0,B,C,15000.0
247,2012-05-13,3.0,0.0,158625,3.0,1991-03-04,E,1.0,D,535802,986502,21.0,A,C,14000.0
248,2012-05-13,5.0,0.0,178491,5.0,1977-05-14,E,1.0,D,535851,986799,35.0,B,A,15000.0
249,2012-05-17,3.0,0.0,165192,3.0,1971-10-05,C,1.0,D,535809,992315,41.0,B,C,12000.0
